Media Source,Date,Tweets Ago,Text,Compound,Negative,Neutral,Positive
BBCNews,Thu Mar 08 22:37:52 +0000 2018,0,"Friday's Daily Mirror: ""M25 rapist is dead"" 
#tomorrowspaperstoday #bbcpapers
(via@hendopolis)
https://t.co/WrEtG5WOn6",-0.8807,0.495,0.505,0.0
BBCNews,Thu Mar 08 22:36:35 +0000 2018,1,"Friday's The Times: ""Traitors are not safe on British soil says Russia"" #tomorrowspaperstoday 
#bbcpapers
(via@hend… https://t.co/n4xXnQc2FR",-0.3412,0.862,0.138,0.0
BBCNews,Thu Mar 08 22:36:18 +0000 2018,2,"Friday's The Guardian: ""Ministers set to offer NHS staff 6.5% rise"" #tomorrowspaperstoday #bbcpapers
(via@hendopoli… https://t.co/NgR2ndpYCM",0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 22:36:03 +0000 2018,3,"Friday's The Sun: ""Our lad's beating Vlad""
#tomorrowspaperstoday #bbcpapers
(via@hendopolis)
https://t.co/SlvYV4RpEj",-0.4588,0.769,0.231,0.0
BBCNews,Thu Mar 08 22:35:40 +0000 2018,4,"Friday's Daily Telegraph: ""Give blood pressure drugs to half of UK"" #tomorrowspaperstoday #bbcpapers
(via@hendopoli… https://t.co/MEtwkaGToP",-0.296,0.864,0.136,0.0
BBCNews,Thu Mar 08 20:31:12 +0000 2018,5,"IoD chair accused of racist, sexist, and bullying behaviour https://t.co/CHUQf5E6A0",-0.8779,0.409,0.591,0.0
BBCNews,Thu Mar 08 20:28:10 +0000 2018,6,"RT @BBCSport: Back to winning ways!

Arsenal put their problems to one side at AC Milan tonight.

Report: https://t.co/mccQRitaoZ #UEL http…",0.2481,0.748,0.106,0.145
BBCNews,Thu Mar 08 20:12:33 +0000 2018,7,Knuckle-duster attack woman 'let down by system' https://t.co/N09QbEE601,-0.4767,0.693,0.307,0.0
BBCNews,Thu Mar 08 19:53:19 +0000 2018,8,RT @BBC_HaveYourSay: The NHS is 70 years old this year. We want you to share your memories and stories with us. More details here: https://…,0.3612,0.868,0.0,0.132
BBCNews,Thu Mar 08 19:07:31 +0000 2018,9,UK government to press on with Brexit bill despite no agreement https://t.co/ojS1S6iDNe,-0.1877,0.689,0.181,0.13
BBCNews,Thu Mar 08 18:20:53 +0000 2018,10,KFC in partial return to ex-supplier Bidvest https://t.co/hwAqHmbcTw,0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 18:05:02 +0000 2018,11,Russian spy: Police name officer injured in attack https://t.co/wWN6SOQnBK,-0.7003,0.547,0.453,0.0
BBCNews,Thu Mar 08 18:03:13 +0000 2018,12,"RT @BBCSport: AC Milan 🆚 Arsenal is under way! ⚽

Live: https://t.co/zImCV3VBWi #UEL https://t.co/ofVfqBjrMN",0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 17:29:30 +0000 2018,13,University exams could be hit by new strike action https://t.co/lPityhiUEJ,-0.128,0.857,0.143,0.0
BBCNews,Thu Mar 08 17:11:29 +0000 2018,14,"RT @BBCSport: Aaron Ramsey is back in the Arsenal team to take on AC Milan tonight.

📋 Team news and live build-up: https://t.co/zImCV3VBWi…",0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 16:55:54 +0000 2018,15,"Meghan Markle hug a 'dream come true' for girl, 10 https://t.co/IuIYokQQKF",0.7845,0.47,0.0,0.53
BBCNews,Thu Mar 08 16:47:39 +0000 2018,16,"RT @bbc5live: “He was a gem""

Oscar-winning actress @SusanSarandon tells @AnnaeFoster the late Paul Newman once gave her part of his salary…",0.0,1.0,0.0,0.0
